Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Middle East and North Africa,Libya,Clothes,Online,L,09/23/2011,911994034,10/08/2011,8752,90.17,36.91,789142.05,323002.25,466139.8
Middle East and North Africa,Egypt,Personal Care,Offline,C,01/12/2015,900011270,01/16/2015,817,82.84,59.84,67680.12,48886.15,18793.97
Europe,Germany,Personal Care,Offline,M,09/09/2012,840712223,10/11/2012,8368,85.3,54.98,713789.48,460059.62,253729.86
Asia,Thailand,Cereal,Offline,C,03/11/2015,806731134,04/01/2015,3677,185.07,108.64,680512.27,399485.71,281026.56
Asia,South Korea,Baby Food,Offline,L,11/30/2013,976279276,12/20/2013,8561,165.69,81.9,1418462.32,701148.76,717313.56
Middle East and North Africa,Libya,Personal Care,Online,L,10/26/2011,368548391,11/29/2011,8253,80.5,51.87,664328.79,428073.11,236255.68
Sub-Saharan Africa,Eritrea,Cereal,Online,C,03/07/2015,679667281,03/17/2015,9766,179.25,109.86,1750533.92,1072863.68,677670.25
North America,Canada,Office Supplies,Online,H,06/16/2016,114418934,07/24/2016,603,638.82,456.85,385211.23,275478.06,109733.17
Europe,Montenegro,Personal Care,Offline,M,07/01/2015,459088422,07/26/2015,5489,89.3,59.57,490188.93,326967.81,163221.11
Central America and the Caribbean,Jamaica,Cereal,Online,H,05/02/2013,659407548,05/04/2013,3642,173.18,114.52,630711.59,417082.34,213629.25
Europe,Germany,Cereal,Online,H,04/22/2015,374905179,05/07/2015,7698,199.11,105.43,1532775.3,811618.83,721156.47
Asia,China,Personal Care,Offline,C,05/22/2014,341274428,05/29/2014,4971,81.82,59.7,406736.74,296759.84,109976.9
North America,Canada,Beverages,Offline,M,07/22/2013,847439717,07/23/2013,5104,46.31,31.72,236365.09,161894.46,74470.63
Middle East and North Africa,Turkey,Cereal,Offline,H,09/12/2012,942677842,10/02/2012,803,198.26,99.18,159205.19,79637.7,79567.49
Middle East and North Africa,Saudi Arabia,Meat,Online,M,04/08/2015,559071764,05/03/2015,61,415.15,373.0,25324.02,22752.93,2571.09
Sub-Saharan Africa,Mali,Beverages,Online,C,07/20/2012,256155268,08/21/2012,9764,47.61,29.24,464887.83,285510.31,179377.53
Europe,Spain,Baby Food,Offline,L,04/08/2013,433464581,04/17/2013,2595,148.08,90.39,384276.37,234558.91,149717.46
Central America and the Caribbean,Cuba,Beverages,Offline,C,04/15/2012,806591133,05/01/2012,6969,40.65,28.78,283283.4,200537.56,82745.84
North America,Canada,Beverages,Offline,C,05/01/2015,871413036,05/24/2015,5521,48.83,32.18,269601.72,177653.82,91947.89
Central America and the Caribbean,Cuba,Fruits,Online,M,10/23/2012,509009565,11/25/2012,8913,70.25,47.09,626125.02,419728.54,206396.48
Asia,Thailand,Snacks,Online,H,10/16/2013,608588705,11/21/2013,9929,142.95,91.41,1419311.21,907600.43,511710.77
North America,Mexico,Cosmetics,Offline,H,04/28/2011,408860567,05/13/2011,7752,481.56,245.74,3733021.34,1904951.61,1828069.73
Sub-Saharan Africa,Nigeria,Baby Food,Offline,H,11/26/2011,974743708,11/27/2011,9138,147.28,90.84,1345873.94,830098.98,515774.96
Sub-Saharan Africa,Senegal,Baby Food,Offline,C,09/02/2014,912159270,10/01/2014,2688,171.77,90.22,461707.91,242514.39,219193.52
Central America and the Caribbean,Jamaica,Snacks,Offline,H,10/27/2013,827016244,12/05/2013,193,135.68,100.56,26186.17,19408.54,6777.63
Sub-Saharan Africa,Eritrea,Clothes,Offline,L,07/11/2015,114054779,08/12/2015,9360,90.25,36.56,844735.03,342240.03,502495.0
Sub-Saharan Africa,Mali,Personal Care,Online,C,02/29/2012,964551629,03/07/2012,4435,88.41,53.95,392107.11,239269.38,152837.73
North America,Mexico,Meat,Offline,M,06/25/2012,751864498,07/13/2012,8576,399.36,319.69,3424951.14,2741645.6,683305.54
Australia and Oceania,Australia,Fruits,Offline,L,03/10/2016,520597070,04/15/2016,8924,72.55,49.34,647416.04,440268.81,207147.23
Europe,Greece,Cosmetics,Offline,C,06/06/2016,353657722,07/05/2016,9962,411.72,236.01,4101574.82,2351087.45,1750487.37
Australia and Oceania,Australia,Office Supplies,Offline,H,07/27/2012,613171003,07/31/2012,6004,565.02,484.99,3392407.03,2911906.94,480500.09
Asia,Thailand,Meat,Online,M,07/03/2014,122821211,07/12/2014,671,462.47,369.1,310318.67,247663.87,62654.8
North America,Canada,Vegetables,Online,L,09/07/2011,190508655,10/14/2011,2855,149.71,94.65,427426.53,270234.41,157192.12
Asia,Vietnam,Clothes,Online,C,04/14/2015,797863259,04/21/2015,9481,98.67,34.24,935528.82,324584.75,610944.08
Europe,Montenegro,Beverages,Offline,H,12/18/2015,697549859,01/13/2016,490,47.01,30.79,23035.67,15089.23,7946.44
Europe,Germany,Snacks,Offline,L,09/24/2011,968675079,10/10/2011,616,146.77,90.09,90409.4,55494.52,34914.88
Asia,China,Fruits,Online,C,01/30/2012,348796495,02/14/2012,3802,75.18,43.95,285844.75,167079.61,118765.14
Europe,Spain,Cereal,Online,C,10/24/2014,242813688,12/01/2014,4335,190.65,115.46,826486.29,500523.97,325962.33
Central America and the Caribbean,Jamaica,Fruits,Offline,M,07/04/2015,764470426,07/17/2015,2916,77.42,41.07,225744.85,119755.05,105989.8
Central America and the Caribbean,Haiti,Vegetables,Online,H,06/05/2013,257661143,06/11/2013,9556,153.08,94.46,1462815.18,902670.22,560144.96
Sub-Saharan Africa,Cape Verde,Office Supplies,Offline,L,07/28/2012,244639045,08/19/2012,4501,695.71,532.43,3131399.43,2396479.53,734919.89
Middle East and North Africa,Egypt,Cosmetics,Offline,C,01/01/2012,900666054,01/30/2012,4173,464.67,267.24,1939062.25,1115207.41,823854.85
Asia,Japan,Cosmetics,Offline,C,04/23/2015,757532555,05/20/2015,8491,476.02,265.07,4041927.97,2250687.29,1791240.68
Central America and the Caribbean,Cuba,Clothes,Offline,H,08/26/2015,273305486,09/26/2015,6397,97.95,38.23,626602.85,244545.26,382057.6
Asia,India,Household,Offline,M,06/17/2016,369629438,07/17/2016,6645,622.7,433.38,4137861.13,2879814.21,1258046.92
Australia and Oceania,Papua New Guinea,Cereal,Offline,C,10/11/2014,669704118,11/12/2014,3840,189.88,111.39,729134.13,427755.64,301378.49
Central America and the Caribbean,Jamaica,Snacks,Offline,L,03/09/2011,128905854,04/07/2011,8211,151.59,98.94,1244672.79,812400.8,432271.99
Asia,Japan,Vegetables,Online,H,05/04/2013,654599050,05/28/2013,5742,139.0,92.13,798149.53,529030.48,269119.05
North America,Mexico,Household,Offline,L,02/18/2013,576935925,02/22/2013,5233,659.94,522.23,3453464.04,2732847.65,720616.38
Australia and Oceania,New Zealand,Meat,Offline,M,03/24/2014,572718199,04/11/2014,9291,395.57,350.03,3675263.99,3252083.77,423180.22
Sub-Saharan Africa,Eritrea,Personal Care,Offline,M,04/02/2012,770902098,04/24/2012,6983,83.99,51.47,586474.53,359435.37,227039.16
Middle East and North Africa,Egypt,Baby Food,Offline,M,10/15/2012,896266929,11/04/2012,1136,135.94,84.09,154423.56,95521.49,58902.08
North America,United States,Vegetables,Online,M,10/04/2012,974176601,11/01/2012,5214,156.86,91.52,817850.04,477190.47,340659.56
Sub-Saharan Africa,Nigeria,Cereal,Online,M,04/11/2015,498745543,04/22/2015,6056,188.73,114.46,1142971.44,693158.16,449813.28
Central America and the Caribbean,Costa Rica,Snacks,Online,L,10/01/2012,662524787,10/21/2012,6583,168.11,98.02,1106663.56,645277.92,461385.64
North America,Canada,Meat,Offline,C,08/01/2013,315063766,08/28/2013,6232,470.88,323.77,2934531.92,2017706.22,916825.71
Asia,South Korea,Household,Online,L,11/10/2015,611064888,12/11/2015,7432,737.88,506.49,5483891.91,3764215.15,1719676.76
Australia and Oceania,Papua New Guinea,Fruits,Offline,L,07/13/2015,387650736,07/25/2015,3857,77.92,48.94,300535.82,188768.09,111767.73
Asia,Thailand,Meat,Online,M,12/30/2013,337178929,02/02/2014,2776,388.6,326.72,1078761.1,906986.87,171774.23
Central America and the Caribbean,Costa Rica,Clothes,Offline,M,01/06/2016,914929191,01/14/2016,4332,96.96,37.09,420027.31,160665.44,259361.86
Australia and Oceania,Papua New Guinea,Office Supplies,Offline,M,07/21/2012,127758630,07/31/2012,7588,662.47,456.26,5026815.55,3462074.2,1564741.35
Central America and the Caribbean,Cuba,Cosmetics,Online,H,09/23/2014,592456318,10/31/2014,1880,394.27,229.14,741222.26,430777.26,310444.99
Europe,Spain,Beverages,Offline,C,08/18/2014,769932733,09/19/2014,1290,46.19,27.86,59581.2,35945.17,23636.03
Asia,South Korea,Fruits,Online,H,03/14/2014,342508766,03/15/2014,7658,77.39,41.01,592665.42,314076.09,278589.33
Europe,Montenegro,Cosmetics,Offline,L,11/18/2012,818171506,12/06/2012,5068,459.59,268.11,2329203.01,1358782.23,970420.77
North America,Mexico,Beverages,Offline,L,04/28/2013,699230856,05/30/2013,4136,44.68,28.17,184792.37,116515.25,68277.12
Europe,France,Personal Care,Offline,C,12/22/2014,478946770,01/29/2015,6588,79.23,58.96,521954.56,388413.6,133540.96
Europe,Spain,Beverages,Online,H,12/11/2011,641174589,01/12/2012,2536,42.71,32.71,108311.84,82949.18,25362.66
Central America and the Caribbean,Cuba,Clothes,Offline,L,07/07/2011,613704205,08/02/2011,1631,100.07,38.29,163213.18,62453.68,100759.51
Sub-Saharan Africa,Mali,Meat,Online,H,12/16/2014,809967924,01/13/2015,9950,467.7,349.35,4653588.96,3476067.83,1177521.13
Australia and Oceania,Australia,Cosmetics,Online,L,02/26/2012,352397814,03/05/2012,8264,416.97,264.28,3445863.21,2184027.73,1261835.48
Asia,China,Clothes,Online,H,01/04/2014,414491228,02/04/2014,5375,98.44,38.42,529121.62,206505.63,322616.0
North America,Canada,Household,Online,C,02/19/2015,107199107,03/13/2015,4621,686.32,489.63,3171462.3,2262566.46,908895.84
Sub-Saharan Africa,Cape Verde,Vegetables,Offline,L,05/27/2016,994743008,07/02/2016,3969,138.29,82.69,548883.64,328188.58,220695.06
Europe,Greece,Meat,Offline,H,09/06/2015,991381511,09/14/2015,315,403.01,378.59,126946.7,119255.98,7690.72
North America,Canada,Baby Food,Online,L,09/21/2015,595010678,10/07/2015,722,154.23,93.67,111357.37,67632.27,43725.1
Central America and the Caribbean,Costa Rica,Cereal,Offline,M,01/22/2014,833186828,02/09/2014,1648,177.32,110.23,292220.92,181663.62,110557.31
Middle East and North Africa,Libya,Vegetables,Online,C,04/23/2012,642550399,05/16/2012,7070,145.29,88.89,1027204.53,628432.61,398771.92
Australia and Oceania,New Zealand,Baby Food,Online,H,02/10/2016,469397535,03/15/2016,1807,152.46,94.92,275500.81,171521.99,103978.82
Sub-Saharan Africa,Chad,Office Supplies,Online,H,04/28/2014,657278528,05/10/2014,3304,588.98,455.55,1945974.71,1505145.47,440829.24
North America,Mexico,Baby Food,Offline,C,05/20/2012,557385684,06/18/2012,3925,166.31,97.69,652786.27,383442.64,269343.63
Australia and Oceania,Australia,Cosmetics,Offline,L,07/11/2011,208422376,07/19/2011,4323,421.95,239.63,1824094.78,1035902.43,788192.35
Central America and the Caribbean,Haiti,Cereal,Offline,C,02/18/2016,166556571,03/28/2016,8465,191.4,103.23,1620220.11,873848.87,746371.24
Middle East and North Africa,Egypt,Cosmetics,Offline,L,10/26/2014,531271637,10/30/2014,6321,407.57,273.17,2576247.98,1726695.03,849552.95
Middle East and North Africa,Egypt,Baby Food,Offline,C,06/24/2014,365770169,07/13/2014,9571,140.33,86.64,1343142.18,829202.13,513940.05
Middle East and North Africa,Libya,Snacks,Online,C,01/06/2016,896649918,02/08/2016,6604,141.96,92.58,937536.8,611382.93,326153.86
Middle East and North Africa,Saudi Arabia,Meat,Offline,H,06/30/2013,198569502,07/12/2013,6616,413.85,346.41,2738029.31,2291878.44,446150.87
North America,United States,Clothes,Online,C,05/24/2012,105055769,06/02/2012,9108,108.85,35.55,991375.76,323746.03,667629.74
Asia,Vietnam,Clothes,Online,H,04/08/2012,593760616,04/23/2012,6306,111.4,34.0,702509.29,214387.48,488121.8
Middle East and North Africa,Saudi Arabia,Beverages,Online,H,01/03/2012,916293109,01/04/2012,3673,48.71,32.64,178909.11,119891.59,59017.52
Central America and the Caribbean,Jamaica,Vegetables,Offline,C,10/16/2015,235097824,11/06/2015,2342,149.88,98.1,351008.09,229745.97,121262.12
Australia and Oceania,Papua New Guinea,Personal Care,Offline,C,06/07/2013,551536965,06/12/2013,2673,72.9,51.9,194875.02,138720.67,56154.35
North America,Mexico,Cereal,Offline,C,01/08/2013,199398503,01/30/2013,9879,193.49,108.04,1911448.65,1067315.86,844132.79
Europe,Montenegro,Vegetables,Offline,C,05/17/2012,318960444,05/28/2012,4288,129.66,91.38,555964.53,391852.16,164112.37
North America,Canada,Office Supplies,Offline,L,05/19/2013,388768584,06/17/2013,7617,666.45,511.69,5076382.46,3897576.27,1178806.19
Asia,South Korea,Fruits,Online,H,06/14/2015,391947386,06/27/2015,6079,72.82,42.72,442684.78,259671.76,183013.02
Middle East and North Africa,Egypt,Personal Care,Offline,H,11/28/2012,518840046,12/19/2012,6687,73.06,57.11,488520.83,381908.77,106612.05
North America,United States,Office Supplies,Offline,H,01/20/2012,692212728,01/21/2012,6838,697.15,524.52,4767113.43,3586653.74,1180459.69
Australia and Oceania,Australia,Clothes,Offline,C,01/08/2011,435778320,01/25/2011,8849,110.86,34.01,981042.38,300939.82,680102.56
Central America and the Caribbean,Cuba,Clothes,Online,M,06/16/2014,350850748,06/24/2014,3581,99.62,34.71,356722.31,124310.36,232411.94
Central America and the Caribbean,Costa Rica,Clothes,Online,M,09/29/2015,428858169,10/21/2015,7985,100.52,35.71,802644.45,285158.52,517485.93
North America,Canada,Snacks,Online,M,12/10/2012,452658819,12/28/2012,6929,169.8,101.55,1176570.66,703656.47,472914.19
North America,Mexico,Clothes,Offline,H,01/20/2013,429866576,02/24/2013,2467,98.87,35.35,243904.04,87219.91,156684.13
Europe,Germany,Office Supplies,Online,L,01/16/2012,741068358,02/02/2012,1074,574.41,485.49,616916.9,521416.01,95500.89
Central America and the Caribbean,Cuba,Snacks,Online,M,05/10/2016,723884014,05/25/2016,3908,155.86,86.05,609109.87,336298.83,272811.04
Australia and Oceania,Papua New Guinea,Snacks,Online,C,08/25/2011,344987166,08/27/2011,758,146.91,103.9,111360.47,78759.85,32600.62
North America,Canada,Beverages,Offline,M,12/05/2015,891580151,12/12/2015,9068,50.81,30.81,460742.64,279407.62,181335.02
Sub-Saharan Africa,Eritrea,Snacks,Online,M,05/31/2013,232988788,06/05/2013,423,162.43,101.16,68708.36,42792.78,25915.59
Central America and the Caribbean,Haiti,Household,Online,M,05/29/2016,177859932,06/02/2016,2054,625.82,513.04,1285424.02,1053793.16,231630.86
Europe,Montenegro,Household,Online,C,10/26/2013,437103977,10/29/2013,3723,700.84,498.88,2609217.92,1857340.41,751877.51
North America,Canada,Personal Care,Offline,L,02/20/2012,402480887,03/13/2012,7702,74.65,53.7,574939.61,413634.18,161305.43
North America,Mexico,Meat,Online,H,11/17/2014,785072982,11/29/2014,225,423.25,336.31,95231.99,75670.76,19561.24
Sub-Saharan Africa,Kenya,Snacks,Offline,L,04/13/2014,345742638,04/18/2014,2932,155.49,93.43,455903.12,273927.01,181976.11
Middle East and North Africa,Egypt,Office Supplies,Online,H,11/14/2013,735503309,11/24/2013,3562,571.04,489.31,2034043.72,1742923.61,291120.11
North America,Mexico,Personal Care,Offline,M,10/10/2014,429885449,11/13/2014,5579,72.47,58.68,404333.31,327400.38,76932.94
Central America and the Caribbean,Haiti,Beverages,Offline,C,06/12/2013,857906251,06/14/2013,9170,41.07,27.24,376607.34,249757.34,126850.0
Sub-Saharan Africa,Eritrea,Cereal,Offline,L,07/06/2011,945060751,08/01/2011,4587,175.79,99.89,806346.33,458175.6,348170.73
Middle East and North Africa,Saudi Arabia,Vegetables,Offline,M,10/03/2012,208401466,10/29/2012,8091,150.83,85.89,1220368.44,694910.55,525457.89
North America,Mexico,Beverages,Online,H,09/26/2013,789324172,10/08/2013,1790,42.34,28.33,75784.19,50711.94,25072.25
Sub-Saharan Africa,Cape Verde,Household,Online,L,03/31/2011,929999907,04/16/2011,2844,593.22,492.14,1687105.93,1399645.8,287460.13
Central America and the Caribbean,Cuba,Beverages,Online,M,08/27/2013,320305388,09/03/2013,7348,46.04,29.65,338309.44,217887.61,120421.82
Asia,South Korea,Vegetables,Offline,L,09/09/2012,338080063,09/30/2012,6309,152.61,83.77,962788.94,528506.18,434282.75
Middle East and North Africa,Libya,Cosmetics,Offline,C,04/05/2016,639300063,04/27/2016,8976,395.99,266.37,3554370.07,2390917.62,1163452.45
Australia and Oceania,Fiji,Clothes,Offline,M,10/14/2012,507238499,11/12/2012,2582,98.43,33.68,254153.42,86970.5,167182.93
Sub-Saharan Africa,Kenya,Clothes,Offline,M,08/04/2012,426695352,08/19/2012,8340,106.83,37.27,890939.71,310835.58,580104.13
Europe,France,Vegetables,Offline,M,05/30/2015,452289045,07/06/2015,1860,135.47,82.46,251978.92,153379.57,98599.35
Europe,Montenegro,Snacks,Offline,H,08/02/2012,826114793,08/21/2012,9375,159.73,96.48,1497453.39,904484.38,592969.0
Central America and the Caribbean,Haiti,Clothes,Offline,L,10/15/2011,891826618,10/17/2011,1908,101.16,35.83,193015.28,68366.32,124648.96
Sub-Saharan Africa,Nigeria,Beverages,Offline,H,02/04/2014,414706048,02/28/2014,5003,46.76,31.68,233926.0,158480.53,75445.47
Europe,Spain,Cereal,Online,H,10/11/2015,937557215,11/13/2015,321,191.34,116.18,61421.48,37293.85,24127.63
North America,United States,Snacks,Online,C,02/05/2014,640973465,02/24/2014,4043,171.72,98.3,694256.62,397438.78,296817.83
Central America and the Caribbean,Haiti,Fruits,Offline,M,03/05/2013,167985200,03/07/2013,2078,69.62,41.79,144663.63,86840.78,57822.85
Central America and the Caribbean,Cuba,Fruits,Online,C,10/27/2015,792093943,11/09/2015,1385,74.41,42.76,103063.55,59222.21,43841.34
Australia and Oceania,Papua New Guinea,Cosmetics,Offline,C,01/23/2013,492210593,02/19/2013,5594,440.38,245.57,2463513.11,1373711.47,1089801.64
Sub-Saharan Africa,Cape Verde,Snacks,Offline,M,03/02/2016,495204271,04/05/2016,4884,153.1,100.27,747748.97,489726.76,258022.22
Asia,South Korea,Vegetables,Online,M,07/11/2013,803620766,07/13/2013,5198,139.93,95.51,727335.07,496448.61,230886.46
Central America and the Caribbean,Costa Rica,Vegetables,Offline,H,10/07/2011,398045321,10/28/2011,2670,129.15,91.82,344818.99,245149.83,99669.16
Australia and Oceania,Australia,Snacks,Online,M,01/17/2015,286201507,02/22/2015,7190,154.71,98.76,1112329.93,710075.94,402253.99
Middle East and North Africa,Libya,Baby Food,Offline,C,05/28/2011,448731685,06/15/2011,8387,144.51,94.61,1212016.55,793527.76,418488.79
Asia,Vietnam,Vegetables,Offline,C,11/14/2015,926207974,11/28/2015,2015,127.49,93.32,256885.19,188046.39,68838.8
Sub-Saharan Africa,Mali,Beverages,Online,L,10/01/2015,372449038,11/02/2015,5676,50.9,29.76,288896.26,168940.57,119955.68
Middle East and North Africa,Egypt,Household,Offline,H,01/07/2012,264289279,01/30/2012,6011,633.55,517.56,3808282.37,3111024.35,697258.02
Central America and the Caribbean,Haiti,Clothes,Offline,C,03/24/2011,380359711,04/16/2011,936,112.36,37.27,105169.06,34880.27,70288.79
Central America and the Caribbean,Jamaica,Cosmetics,Offline,L,06/19/2015,814115009,07/11/2015,4933,418.82,237.01,2066020.64,1169194.78,896825.86
North America,Canada,Vegetables,Online,H,08/30/2012,442407078,09/10/2012,4079,160.19,88.29,653406.05,360114.72,293291.33
Australia and Oceania,Australia,Clothes,Online,M,06/09/2016,400765054,06/10/2016,7605,97.64,34.32,742579.57,260995.43,481584.14
Central America and the Caribbean,Costa Rica,Cosmetics,Online,L,02/09/2014,668637570,03/14/2014,5595,390.55,253.63,2185149.68,1419071.84,766077.85
Middle East and North Africa,Libya,Beverages,Online,H,12/16/2015,497286362,01/23/2016,6829,49.28,31.04,336525.7,211987.25,124538.45
Sub-Saharan Africa,Nigeria,Fruits,Online,H,05/26/2016,942868946,06/17/2016,4040,65.2,49.17,263396.37,198652.13,64744.24
Asia,China,Beverages,Offline,L,07/12/2013,469505299,07/21/2013,4307,49.86,32.85,214767.23,141497.17,73270.06
North America,Mexico,Beverages,Online,H,10/27/2012,884023050,11/23/2012,2658,46.1,31.14,122544.33,82759.12,39785.21
Australia and Oceania,Papua New Guinea,Cosmetics,Offline,M,05/28/2014,357373415,05/29/2014,1467,392.25,269.68,575426.75,395623.15,179803.6
North America,Mexico,Beverages,Offline,C,04/28/2016,966459289,05/10/2016,1894,46.76,29.15,88563.87,55213.38,33350.49
Central America and the Caribbean,Jamaica,Household,Online,C,03/27/2016,170984280,04/09/2016,8573,699.09,463.81,5993319.67,3976241.53,2017078.14
Australia and Oceania,Papua New Guinea,Meat,Online,L,01/07/2011,615501403,01/18/2011,7383,460.95,337.26,3403205.36,2489981.56,913223.79
Asia,Japan,Snacks,Offline,M,04/14/2015,429522016,05/03/2015,2382,137.29,94.99,327028.17,226258.45,100769.72
Asia,Thailand,Vegetables,Offline,L,03/20/2011,807920818,04/14/2011,507,149.09,88.96,75588.2,45101.0,30487.21
Middle East and North Africa,Egypt,Cosmetics,Online,H,08/05/2011,738942485,08/12/2011,1193,396.95,238.12,473566.62,284081.37,189485.25
Central America and the Caribbean,Cuba,Cosmetics,Offline,C,11/03/2012,798095339,11/04/2012,1212,395.08,261.72,478836.22,317202.56,161633.66
Asia,Thailand,Snacks,Online,L,03/12/2011,588103089,04/11/2011,4387,139.37,90.33,611407.06,396281.94,215125.13
Middle East and North Africa,Egypt,Vegetables,Offline,H,07/30/2014,778684493,08/31/2014,5276,136.37,83.58,719495.52,440981.01,278514.52
North America,Mexico,Meat,Offline,C,02/25/2012,201633574,03/13/2012,4400,411.51,347.89,1810635.05,1530733.93,279901.12
Sub-Saharan Africa,Cape Verde,Cosmetics,Offline,M,04/18/2011,437811677,04/30/2011,693,398.5,258.92,276157.52,179434.72,96722.8
North America,United States,Snacks,Offline,M,11/08/2015,543817003,11/14/2015,9928,165.06,94.42,1638747.06,937410.24,701336.82
Europe,Spain,Household,Online,L,05/15/2016,740554953,06/17/2016,7397,712.71,491.32,5271937.01,3634304.62,1637632.39
North America,Canada,Cosmetics,Offline,C,11/18/2015,230286752,12/17/2015,8939,391.88,246.99,3503005.17,2207868.48,1295136.69
Middle East and North Africa,Turkey,Fruits,Online,M,09/16/2011,754567082,09/23/2011,9964,76.16,48.65,758880.68,484747.1,274133.58
Middle East and North Africa,Morocco,Snacks,Offline,C,06/09/2013,162155971,06/27/2013,6749,137.55,89.65,928352.54,605016.21,323336.33
North America,United States,Snacks,Offline,H,04/23/2014,804980534,05/14/2014,5883,170.92,95.78,1005539.83,563480.58,442059.25
Middle East and North Africa,Saudi Arabia,Clothes,Offline,L,09/22/2011,355924639,10/14/2011,7621,105.11,36.85,801035.56,280802.19,520233.37
Asia,China,Meat,Offline,M,12/12/2015,923919516,12/19/2015,2171,395.15,327.91,857878.27,711897.24,145981.03
Middle East and North Africa,Turkey,Clothes,Online,C,09/14/2012,150283084,10/22/2012,3139,99.57,37.37,312548.98,117317.07,195231.91
Middle East and North Africa,Saudi Arabia,Clothes,Offline,H,07/10/2012,417251414,07/18/2012,5453,114.86,32.91,626356.39,179474.0,446882.38
Australia and Oceania,Fiji,Household,Offline,H,01/15/2011,289261413,01/22/2011,4322,615.11,483.96,2658494.56,2091683.46,566811.1
Central America and the Caribbean,Costa Rica,Baby Food,Online,H,05/16/2014,300199095,05/24/2014,3441,137.89,84.06,474495.09,289243.47,185251.62
Sub-Saharan Africa,Cape Verde,Snacks,Online,C,02/13/2016,564456568,03/20/2016,3863,172.11,98.5,664847.22,380513.11,284334.1
Asia,Japan,Cereal,Online,L,04/28/2015,254191643,05/12/2015,1343,192.17,113.12,258083.7,151920.2,106163.5
Asia,Japan,Office Supplies,Online,C,01/01/2013,195427651,02/03/2013,814,711.22,454.14,578936.09,369672.25,209263.84
Europe,Italy,Office Supplies,Online,H,08/28/2012,828014532,09/10/2012,1142,653.72,470.78,746544.83,537628.87,208915.96
Europe,Spain,Cereal,Offline,H,08/10/2012,231429489,08/23/2012,1785,191.14,117.56,341177.06,209849.26,131327.8
North America,Canada,Snacks,Online,M,01/09/2012,741378536,02/02/2012,4659,162.74,97.13,758196.85,452543.76,305653.09
Australia and Oceania,New Zealand,Cereal,Online,H,10/22/2015,436552634,11/19/2015,1313,199.47,116.69,261900.87,153216.13,108684.74
Central America and the Caribbean,Cuba,Baby Food,Offline,M,06/23/2015,754016638,07/27/2015,5603,152.24,93.16,852982.08,521996.23,330985.85
Australia and Oceania,New Zealand,Fruits,Online,M,06/11/2012,853577967,07/09/2012,4540,80.4,40.6,364999.79,184322.67,180677.12
North America,Mexico,Cosmetics,Offline,M,11/03/2015,783265512,11/24/2015,4759,409.8,261.54,1950224.58,1244687.81,705536.78
Asia,Thailand,Meat,Online,H,01/26/2015,769599636,02/28/2015,5015,411.08,330.72,2061546.66,1658571.69,402974.97
Asia,India,Snacks,Offline,M,12/26/2014,956156506,01/15/2015,2694,147.4,99.65,397084.93,268457.09,128627.83
Sub-Saharan Africa,Kenya,Household,Online,C,04/22/2011,918359472,05/05/2011,6773,594.9,498.63,4029263.91,3377191.67,652072.24
Europe,Montenegro,Snacks,Online,L,05/14/2011,253012472,05/25/2011,7165,162.55,85.95,1164655.07,615867.42,548787.64
Australia and Oceania,Australia,Office Supplies,Offline,H,03/23/2016,361571808,04/27/2016,5651,654.98,505.05,3701295.92,2854055.45,847240.46
Central America and the Caribbean,Costa Rica,Clothes,Online,L,06/02/2011,704123480,07/06/2011,9954,105.67,37.16,1051881.09,369878.34,682002.76
Sub-Saharan Africa,Nigeria,Clothes,Offline,L,12/01/2013,807039712,12/20/2013,1872,94.97,33.23,177776.57,62202.81,115573.75
Europe,Montenegro,Cosmetics,Offline,M,12/29/2013,450215016,01/30/2014,6192,396.62,261.15,2455866.63,1617062.98,838803.65
Europe,Italy,Personal Care,Online,M,08/13/2013,745588723,09/06/2013,4477,88.24,49.65,395038.49,222294.17,172744.32
North America,Canada,Personal Care,Online,C,05/17/2014,455541134,06/02/2014,7779,83.15,57.28,646809.06,445559.09,201249.97
Central America and the Caribbean,Costa Rica,Cereal,Offline,M,06/17/2015,181369859,06/30/2015,5034,195.12,103.58,982215.49,521445.84,460769.66
Sub-Saharan Africa,Eritrea,Personal Care,Online,L,09/24/2011,758090468,10/29/2011,7466,89.18,55.0,665834.57,410634.78,255199.78
Middle East and North Africa,Turkey,Snacks,Online,C,03/14/2011,368856449,03/21/2011,9974,150.4,89.48,1500095.57,892514.57,607581.01
North America,Canada,Beverages,Offline,M,06/28/2011,168112374,07/03/2011,735,48.28,32.79,35486.63,24103.47,11383.16
Middle East and North Africa,Libya,Cereal,Offline,L,07/16/2015,667018203,08/24/2015,1130,194.68,107.07,219982.76,120992.66,98990.1
Asia,China,Meat,Online,C,04/30/2014,736860117,05/05/2014,7100,406.26,328.9,2884459.95,2335219.91,549240.04
Sub-Saharan Africa,Cape Verde,Personal Care,Online,H,04/20/2015,885177520,05/04/2015,5587,91.13,53.64,509120.05,299705.9,209414.15
Asia,Japan,Personal Care,Online,H,10/10/2013,453930961,10/18/2013,9948,84.0,54.84,835625.61,545569.37,290056.24
Sub-Saharan Africa,Kenya,Beverages,Offline,M,06/29/2012,730050712,08/04/2012,914,51.13,31.1,46734.21,28421.05,18313.16
